timestamp,temperature_c,vibration_g,current_a,fail_soon
2025-01-01 00:00:00,42.57,0.097,0.958,0
2025-01-01 00:00:01,42.56,0.19,1.061,0
2025-01-01 00:00:02,61.8,0.763,1.295,1
2025-01-01 00:00:03,59.65,0.517,1.53,1
2025-01-01 00:00:04,40.73,0.194,0.994,0
2025-01-01 00:00:05,42.32,0.13,0.941,0
2025-01-01 00:00:06,36.75,0.205,1.078,0
2025-01-01 00:00:07,39.95,0.148,0.872,0
2025-01-01 00:00:08,41.09,0.182,0.904,0
2025-01-01 00:00:09,39.7,0.092,1.044,0
2025-01-01 00:00:10,38.67,0.206,0.99,0
2025-01-01 00:00:11,40.56,0.168,1.09,0
2025-01-01 00:00:12,39.97,0.114,1.002,0
2025-01-01 00:00:13,36.89,0.172,0.924,0
2025-01-01 00:00:14,57.71,0.577,1.313,1
2025-01-01 00:00:15,58.31,0.803,1.341,1
2025-01-01 00:00:16,58.9,0.616,1.388,1
2025-01-01 00:00:17,40.55,0.27,1.122,0
2025-01-01 00:00:18,42.45,0.199,1.013,0
2025-01-01 00:00:19,61.07,0.897,1.493,1
2025-01-01 00:00:20,42.46,0.214,0.979,0
2025-01-01 00:00:21,55.57,0.751,1.435,1
2025-01-01 00:00:22,37.78,0.151,0.998,0
2025-01-01 00:00:23,43.02,0.322,1.084,0
2025-01-01 00:00:24,39.4,0.185,1.001,0
2025-01-01 00:00:25,41.73,0.339,0.911,0
2025-01-01 00:00:26,54.36,0.763,1.628,1
2025-01-01 00:00:27,60.42,0.553,1.321,1
2025-01-01 00:00:28,45.25,0.181,1.112,0
2025-01-01 00:00:29,41.8,0.149,0.89,0
2025-01-01 00:00:30,40.24,0.205,0.894,0
2025-01-01 00:00:31,56.43,0.542,1.338,1
2025-01-01 00:00:32,60.25,0.712,1.25,1
2025-01-01 00:00:33,42.73,0.265,0.839,0
2025-01-01 00:00:34,46.86,0.15,0.994,0
2025-01-01 00:00:35,41.37,0.227,1.007,0
2025-01-01 00:00:36,68.09,0.608,1.42,1
2025-01-01 00:00:37,38.74,0.217,0.921,0
2025-01-01 00:00:38,40.53,0.282,0.816,0
2025-01-01 00:00:39,66.73,0.683,1.304,1
2025-01-01 00:00:40,40.05,0.206,0.974,0
2025-01-01 00:00:41,38.98,0.214,0.839,0
2025-01-01 00:00:42,63.37,0.798,1.276,1
2025-01-01 00:00:43,57.4,0.725,1.028,1
2025-01-01 00:00:44,39.29,0.146,0.941,0
2025-01-01 00:00:45,43.72,0.037,0.895,0
2025-01-01 00:00:46,62.93,0.655,1.84,1
2025-01-01 00:00:47,64.74,0.966,1.482,1
2025-01-01 00:00:48,42.74,0.157,1.0,0
2025-01-01 00:00:49,43.19,0.17,1.176,0
2025-01-01 00:00:50,64.64,0.549,1.372,1
2025-01-01 00:00:51,39.87,0.286,0.856,0
2025-01-01 00:00:52,40.46,0.182,1.125,0
2025-01-01 00:00:53,36.77,0.121,0.991,0
2025-01-01 00:00:54,58.84,0.743,1.493,1
2025-01-01 00:00:55,37.78,0.242,0.851,0
2025-01-01 00:00:56,40.94,0.206,1.058,0
2025-01-01 00:00:57,63.11,0.783,1.408,1
2025-01-01 00:00:58,68.87,0.659,1.473,1
2025-01-01 00:00:59,40.27,0.236,0.936,0
2025-01-01 00:01:00,45.3,0.139,0.922,0
2025-01-01 00:01:01,39.04,0.184,1.117,0
2025-01-01 00:01:02,53.08,0.79,1.509,1
2025-01-01 00:01:03,41.92,0.279,1.114,0
2025-01-01 00:01:04,36.03,0.191,1.019,0
2025-01-01 00:01:05,44.1,0.137,1.18,0
2025-01-01 00:01:06,39.06,0.35,1.047,0
2025-01-01 00:01:07,58.23,0.83,1.367,1
2025-01-01 00:01:08,39.08,0.181,0.868,0
2025-01-01 00:01:09,40.66,0.207,0.987,0
2025-01-01 00:01:10,37.81,0.231,1.096,0
2025-01-01 00:01:11,38.86,0.258,0.959,0
2025-01-01 00:01:12,68.99,0.675,1.288,1
2025-01-01 00:01:13,59.92,0.808,1.455,1
2025-01-01 00:01:14,38.86,0.215,0.789,0
2025-01-01 00:01:15,40.05,0.2,0.993,0
2025-01-01 00:01:16,38.82,0.181,1.142,0
2025-01-01 00:01:17,40.44,0.216,1.036,0
2025-01-01 00:01:18,53.76,0.539,1.456,1
2025-01-01 00:01:19,42.56,0.128,1.215,0
2025-01-01 00:01:20,67.26,0.735,1.468,1
2025-01-01 00:01:21,42.7,0.287,1.132,0
2025-01-01 00:01:22,67.59,0.708,1.465,1
2025-01-01 00:01:23,39.71,0.17,1.312,0
2025-01-01 00:01:24,58.76,0.647,1.211,1
2025-01-01 00:01:25,38.26,0.249,0.944,0
2025-01-01 00:01:26,41.01,0.276,1.103,0
2025-01-01 00:01:27,41.65,0.286,1.212,0
2025-01-01 00:01:28,42.89,0.316,1.058,0
2025-01-01 00:01:29,56.27,0.66,1.109,1
2025-01-01 00:01:30,40.02,0.234,0.821,0
2025-01-01 00:01:31,38.13,0.329,1.022,0
2025-01-01 00:01:32,40.01,0.192,1.036,0
2025-01-01 00:01:33,38.67,0.183,1.091,0
2025-01-01 00:01:34,62.56,0.744,1.543,1
2025-01-01 00:01:35,38.46,0.215,0.974,0
2025-01-01 00:01:36,57.83,0.756,1.291,1
2025-01-01 00:01:37,40.42,0.204,1.256,0
2025-01-01 00:01:38,56.81,0.792,1.481,1
2025-01-01 00:01:39,41.51,0.177,0.892,0
2025-01-01 00:01:40,42.59,0.125,1.198,0
2025-01-01 00:01:41,61.14,0.791,1.585,1
2025-01-01 00:01:42,36.5,0.178,0.894,0
2025-01-01 00:01:43,40.68,0.202,0.975,0
2025-01-01 00:01:44,62.99,0.788,1.298,1
2025-01-01 00:01:45,41.76,0.182,1.158,0
2025-01-01 00:01:46,40.46,0.178,0.973,0
2025-01-01 00:01:47,37.28,0.163,1.075,0
2025-01-01 00:01:48,65.27,0.773,1.647,1
2025-01-01 00:01:49,37.39,0.282,1.031,0
2025-01-01 00:01:50,39.91,0.229,1.107,0
2025-01-01 00:01:51,39.03,0.184,0.76,0
2025-01-01 00:01:52,60.53,0.626,1.169,1
2025-01-01 00:01:53,41.86,0.23,0.949,0
2025-01-01 00:01:54,37.74,0.217,0.976,0
2025-01-01 00:01:55,43.74,0.211,1.034,0
2025-01-01 00:01:56,40.99,0.147,1.028,0
2025-01-01 00:01:57,61.0,0.628,1.486,1
2025-01-01 00:01:58,41.85,0.293,1.227,0
2025-01-01 00:01:59,40.09,0.17,0.91,0
2025-01-01 00:02:00,40.95,0.241,0.941,0
2025-01-01 00:02:01,61.56,0.657,1.361,1
2025-01-01 00:02:02,56.55,0.701,1.497,1
2025-01-01 00:02:03,39.15,0.156,0.941,0
2025-01-01 00:02:04,42.9,0.203,0.995,0
2025-01-01 00:02:05,40.26,0.189,1.173,0
2025-01-01 00:02:06,59.02,0.741,1.514,1
2025-01-01 00:02:07,39.37,0.22,1.046,0
2025-01-01 00:02:08,42.03,0.183,0.974,0
2025-01-01 00:02:09,38.07,0.154,1.037,0
2025-01-01 00:02:10,41.44,0.145,1.019,0
2025-01-01 00:02:11,58.92,0.754,1.57,1
2025-01-01 00:02:12,42.05,0.22,0.843,0
2025-01-01 00:02:13,65.76,0.732,1.318,1
2025-01-01 00:02:14,64.78,0.598,1.217,1
